Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won,Pos_primary,Squad_clean,Stage
232,Salem Al-Dawsari,MF,sa Saudi Arabia,34,1991,2.7,1,0,0,3,4,1,3,1,1,MF,Saudi Arabia,Group Stage Exit
234,Kevin De Bruyne,MF,be Belgium,34,1991,4.2,1,0,0,2,4,0,21,0,2,MF,Belgium,Reached Knockouts
235,Maxim De Cuyper,DF,be Belgium,25,2000,4.9,1,0,0,7,2,0,12,6,2,DF,Belgium,Reached Knockouts
236,Luc De Fougerolles,DF,ca Canada,20,2005,4.1,2,0,0,8,8,0,1,2,6,DF,Canada,Reached Knockouts
237,Charles De Ketelaere,FWMF,be Belgium,25,2001,3.9,0,0,0,2,3,2,3,5,4,FWMF,Belgium,Reached Knockouts
238,Nicolás De La Cruz,MF,uy Uruguay,29,1997,1.0,1,0,0,2,3,0,5,2,1,MF,Uruguay,Group Stage Exit
239,Rodrigo De Paul,MF,ar Argentina,32,1994,5.5,1,0,0,2,5,1,14,6,4,MF,Argentina,Reached Knockouts
240,Amar Dedi?,DF,ba BosniaHerz,23,2002,3.0,1,0,0,6,3,0,0,1,7,DF,BosniaHerz,Reached Knockouts
241,Louicius Deedson,MF,ht Haiti,25,2001,1.2,0,0,0,3,1,1,4,1,0,MF,Haiti,Group Stage Exit
242,Hannes Delcroix,DF,ht Haiti,27,1999,3.0,0,0,0,1,2,0,0,4,3,DF,Haiti,Group Stage Exit
243,Ousmane Dembélé,MF,fr France,29,1997,6.6,0,0,0,0,4,3,34,0,2,MF,France,Reached Knockouts
244,Merih Demiral,DF,tr Türkiye,28,1998,2.0,0,0,0,2,1,3,1,1,1,DF,Türkiye,Group Stage Exit
245,Ermedin Demirovi?,FW,ba BosniaHerz,28,1998,3.9,1,0,0,11,3,1,0,1,1,FW,BosniaHerz,Reached Knockouts
246,Sergiño Dest,MF,us USA,25,2000,3.3,0,0,0,2,4,0,3,5,1,MF,USA,Reached Knockouts
247,Frans Dhia Putros,DF,iq Iraq,32,1993,1.0,0,0,0,2,0,0,1,2,2,DF,Iraq,Group Stage Exit
248,Oumar Diakité,FW,ci Côte d'Ivoire,22,2003,0.3,0,0,0,0,0,0,1,0,1,FW,Côte d'Ivoire,Reached Knockouts
249,Amad Diallo,MFFW,ci Côte d'Ivoire,23,2002,2.1,0,0,0,0,2,1,4,2,4,MFFW,Côte d'Ivoire,Reached Knockouts
250,Assane Diao,MF,sn Senegal,20,2005,0.1,0,0,0,0,0,0,0,0,1,MF,Senegal,Reached Knockouts
251,Habib Diarra,MF,sn Senegal,22,2004,1.6,0,0,0,2,2,0,1,1,2,MF,Senegal,Reached Knockouts
252,Rúben Dias,DF,pt Portugal,29,1997,4.0,1,0,0,6,3,0,0,5,3,DF,Portugal,Reached Knockouts
253,Krépin Diatta,DF,sn Senegal,27,1999,4.3,0,0,0,4,6,0,12,3,10,DF,Senegal,Reached Knockouts
255,Brahim Díaz,MF,ma Morocco,26,1999,5.1,0,0,0,3,10,0,8,4,2,MF,Morocco,Reached Knockouts
256,Ismael Díaz,FWMF,pa Panama,29,1997,0.4,0,0,0,0,0,2,0,0,1,FWMF,Panama,Group Stage Exit
257,Luis Díaz,FWMF,co Colombia,29,1997,5.3,0,0,0,7,9,9,4,1,0,FWMF,Colombia,Reached Knockouts
258,Bamba Dieng,FW,sn Senegal,26,2000,0.1,0,0,0,0,0,0,0,0,0,FW,Senegal,Reached Knockouts
259,Lucas Digne,DF,fr France,32,1993,5.1,0,0,0,7,2,0,15,2,3,DF,France,Reached Knockouts
260,Diney,DF,cv Cabo Verde,31,1995,4.3,1,0,0,2,0,0,0,4,7,DF,Cabo Verde,Reached Knockouts
261,Ousmane Diomande,DF,ci Côte d'Ivoire,22,2003,1.0,0,0,0,0,0,0,0,1,0,DF,Côte d'Ivoire,Reached Knockouts
262,Yan Diomandé,MFFW,ci Côte d'Ivoire,19,2006,3.7,0,0,0,2,7,0,14,4,6,MFFW,Côte d'Ivoire,Reached Knockouts
263,Issa Diop,DF,ma Morocco,29,1997,5.3,3,0,0,4,1,0,0,7,1,DF,Morocco,Reached Knockouts
264,El Hadji Malick Diouf,DF,sn Senegal,21,2004,1.9,0,0,0,2,0,0,8,1,1,DF,Senegal,Reached Knockouts
265,Ritsu Doan,MF,jp Japan,27,1998,3.1,0,0,0,6,4,0,5,1,1,MF,Japan,Reached Knockouts
266,Jeremy Doku,MF,be Belgium,24,2002,3.4,0,0,0,4,18,0,6,3,1,MF,Belgium,Reached Knockouts
267,Merchas Doski,DF,iq Iraq,26,1999,3.0,1,0,0,3,8,0,4,6,9,DF,Iraq,Group Stage Exit
268,David Doud?ra,MF,cz Czechia,28,1998,1.0,0,0,0,0,1,0,5,1,0,MF,Czechia,Group Stage Exit
269,Désiré Doué,MF,fr France,21,2005,4.4,0,0,0,4,8,0,3,2,6,MF,France,Reached Knockouts
270,Guéla Doué,DF,ci Côte d'Ivoire,23,2002,3.1,1,0,0,6,5,0,12,3,5,DF,Côte d'Ivoire,Reached Knockouts
271,Deroy Duarte,MF,cv Cabo Verde,26,1999,2.9,0,0,0,4,1,0,1,6,5,MF,Cabo Verde,Reached Knockouts
272,Laros Duarte,MF,cv Cabo Verde,29,1997,1.8,0,0,0,0,2,0,2,2,1,MF,Cabo Verde,Reached Knockouts
273,Denzel Dumfries,DFMF,nl Netherlands,30,1996,4.3,0,0,0,6,3,1,16,1,6,DFMF,Netherlands,Reached Knockouts
274,Jean-Kevin Duverne,DF,ht Haiti,28,1997,1.9,0,0,0,2,1,1,1,4,2,DF,Haiti,Group Stage Exit
275,Lyndon Dykes,FWMF,sct Scotland,30,1995,0.4,0,0,0,2,0,0,1,0,0,FWMF,Scotland,Group Stage Exit
276,Edin Deko,FW,ba BosniaHerz,40,1986,2.0,1,0,0,1,2,0,0,1,0,FW,BosniaHerz,Reached Knockouts
277,Roshon van Eijma,DF,cw Curaçao,28,1998,0.2,0,0,0,0,0,0,0,0,0,DF,Curaçao,Group Stage Exit
278,Anthony Elanga,MFFW,se Sweden,24,2002,2.4,0,0,0,0,7,1,12,2,0,MFFW,Sweden,Reached Knockouts
279,Meschak Elia,FWMF,cd Congo DR,28,1997,0.5,0,0,0,2,0,0,2,1,0,FWMF,Congo DR,Reached Knockouts
280,Callan Elliot,DF,nz New Zealand,26,1999,0.1,0,0,0,0,0,0,0,0,1,DF,New Zealand,Group Stage Exit
281,Eren Elmal?,DF,tr Türkiye,25,2000,1.2,1,0,0,2,1,0,1,2,1,DF,Türkiye,Group Stage Exit
282,Nico Elvedi,DF,ch Switzerland,29,1996,6.7,1,0,0,5,6,0,0,6,2,DF,Switzerland,Reached Knockouts
283,Breel Embolo,FW,ch Switzerland,29,1997,5.6,2,1,1,9,11,4,1,2,0,FW,Switzerland,Reached Knockouts
284,Julio Enciso,FW,py Paraguay,22,2004,4.3,0,0,0,3,9,0,5,1,5,FW,Paraguay,Reached Knockouts
285,Endrick,FW,br Brazil,19,2006,1.3,0,0,0,1,1,1,0,1,1,FW,Brazil,Reached Knockouts
287,Fidel Escobar,DF,pa Panama,31,1995,1.0,0,0,0,1,0,0,1,1,2,DF,Panama,Group Stage Exit
288,Pervis Estupiñán,MF,ec Ecuador,28,1998,1.0,0,0,0,3,0,0,2,0,1,MF,Ecuador,Reached Knockouts
289,Derrick Etienne,FWMF,ht Haiti,29,1996,0.1,0,0,0,0,0,0,2,0,0,FWMF,Haiti,Group Stage Exit
290,Stephen Eustáquio,MF,ca Canada,29,1996,4.4,0,0,0,2,7,0,45,3,5,MF,Canada,Reached Knockouts
291,Martin Expérience,DFMF,ht Haiti,27,1999,3.0,0,0,0,7,6,0,6,4,6,DFMF,Haiti,Group Stage Exit
292,Saeid Ezatolahi,MF,ir IR Iran,29,1996,2.9,2,0,0,7,4,0,0,7,5,MF,IR Iran,Group Stage Exit
293,Eberechi Eze,MF,eng England,27,1998,2.3,0,0,0,2,4,1,2,0,0,MF,England,Reached Knockouts
294,Fabinho,DFMF,br Brazil,32,1993,0.8,1,0,0,4,0,0,0,2,1,DFMF,Brazil,Reached Knockouts
295,José Fajardo,FW,pa Panama,32,1993,1.7,1,0,0,4,3,1,0,0,2,FW,Panama,Group Stage Exit
296,Odeh Al-Fakhouri,MFFW,jo Jordan,20,2005,1.6,0,0,0,2,3,1,1,2,1,MFFW,Jordan,Group Stage Exit
297,Henrik Falchener,DF,no Norway,23,2003,0.7,0,0,0,0,0,0,0,1,0,DF,Norway,Reached Knockouts
298,Marko Farji,MF,iq Iraq,22,2004,0.6,0,0,0,0,2,0,2,1,1,MF,Iraq,Group Stage Exit
299,Christian Fassnacht,FWMF,ch Switzerland,32,1993,0.1,0,0,0,0,0,0,0,0,1,FWMF,Switzerland,Reached Knockouts
300,Abdul Fatawu Issahaku,FWMF,gh Ghana,22,2004,1.5,1,0,0,1,7,0,7,0,0,FWMF,Ghana,Reached Knockouts
301,Ahmed Fathy,MF,qa Qatar,33,1993,1.7,2,0,0,2,1,0,0,3,3,MF,Qatar,Group Stage Exit
302,Hamdy Fathy,DFMF,eg Egypt,31,1994,2.6,1,0,0,3,2,1,1,2,3,DFMF,Egypt,Reached Knockouts
303,Ahmed Fatouh,DF,eg Egypt,28,1998,3.0,1,0,0,2,3,0,8,4,5,DF,Egypt,Reached Knockouts
304,Abbosbek Fayzullayev,MF,uz Uzbekistan,22,2003,2.4,0,0,0,6,4,0,10,1,6,MF,Uzbekistan,Group Stage Exit
305,João Félix,MF,pt Portugal,26,1999,2.2,0,0,0,3,6,0,4,3,4,MF,Portugal,Reached Knockouts
306,Lewis Ferguson,MF,sct Scotland,26,1999,3.0,0,0,0,5,10,0,9,4,7,MF,Scotland,Group Stage Exit
307,Bruno Fernandes,MF,pt Portugal,31,1994,4.7,0,0,0,2,8,1,22,0,5,MF,Portugal,Reached Knockouts
308,Enzo Fernández,MF,ar Argentina,25,2001,7.3,2,1,1,12,6,1,5,6,7,MF,Argentina,Reached Knockouts
309,Matias Fernandez-Pardo,FWMF,be Belgium,21,2005,0.5,0,0,0,0,0,0,2,0,1,FWMF,Belgium,Reached Knockouts
310,Álvaro Fidalgo,MF,mx Mexico,29,1997,1.1,0,0,0,0,2,0,4,1,0,MF,Mexico,Reached Knockouts
311,Sherel Floranus,DF,cw Curaçao,27,1998,3.0,0,0,0,2,0,1,0,4,6,DF,Curaçao,Group Stage Exit
312,Seko Fofana,MF,ci Côte d'Ivoire,31,1995,1.0,1,0,0,1,0,0,0,2,0,MF,Côte d'Ivoire,Reached Knockouts
314,Deveron Fonville,DF,cw Curaçao,23,2003,2.7,0,0,0,2,3,0,0,5,3,DF,Curaçao,Group Stage Exit
315,Yassin Fortuné,FWMF,ht Haiti,27,1999,0.1,0,0,0,0,1,0,0,0,0,FWMF,Haiti,Group Stage Exit
316,Lyle Foster,FW,za South Africa,25,2000,0.6,0,0,0,0,1,0,0,0,0,FW,South Africa,Reached Knockouts
317,Alan Franco,DF,ec Ecuador,27,1998,2.8,2,0,0,7,0,0,5,4,6,DF,Ecuador,Reached Knockouts
318,Alex Freeman,DF,us USA,21,2004,4.2,0,0,0,1,1,0,4,7,6,DF,USA,Reached Knockouts
320,Remo Freuler,MF,ch Switzerland,34,1992,6.6,0,0,0,8,3,1,5,8,5,MF,Switzerland,Reached Knockouts
321,Marco Friedl,DF,at Austria,28,1998,0.3,0,0,0,0,0,0,0,0,0,DF,Austria,Reached Knockouts
322,Juriën Gaari,DF,cw Curaçao,32,1993,1.8,1,0,0,4,1,0,0,2,2,DF,Curaçao,Group Stage Exit
323,Jassem Gaber,MF,qa Qatar,24,2002,1.7,1,0,0,7,0,0,0,0,2,MF,Qatar,Group Stage Exit
324,Cody Gakpo,FW,nl Netherlands,27,1999,4.1,0,0,0,3,3,3,12,2,1,FW,Netherlands,Reached Knockouts
325,Matías Galarza,MF,py Paraguay,24,2002,4.3,2,0,0,10,9,0,4,7,11,MF,Paraguay,Reached Knockouts
327,Jesús Gallardo,DF,mx Mexico,31,1994,4.1,0,0,0,7,3,0,16,7,1,DF,Mexico,Reached Knockouts
328,Ahmed Al-Ganehi,FW,qa Qatar,25,2000,0.4,0,0,0,1,0,0,1,0,1,FW,Qatar,Group Stage Exit
329,Ben Gannon-Doak,MF,sct Scotland,20,2005,2.1,0,0,0,3,1,0,6,0,1,MF,Scotland,Group Stage Exit
330,Eric García,DFMF,es Spain,25,2001,0.2,0,0,0,1,0,0,0,1,0,DFMF,Spain,Reached Knockouts
331,Gavi,FW,es Spain,21,2004,0.8,0,0,0,2,1,0,2,1,2,FW,Spain,Reached Knockouts
332,Jason Geria,DF,au Australia,33,1993,0.7,0,0,0,2,0,0,1,2,1,DF,Australia,Reached Knockouts
334,Ismaël Gharbi,MF,tn Tunisia,22,2004,1.4,0,0,0,0,2,0,1,1,1,MF,Tunisia,Group Stage Exit
335,Mehdi Ghayedi,FW,ir IR Iran,27,1998,0.5,0,0,0,2,1,0,3,0,0,FW,IR Iran,Group Stage Exit
337,Saman Ghoddos,MF,ir IR Iran,32,1993,2.3,0,0,0,3,0,1,1,5,4,MF,IR Iran,Group Stage Exit
338,Mohammad Ghorbani,MF,ir IR Iran,25,2001,1.0,0,0,0,2,1,0,0,2,2,MF,IR Iran,Group Stage Exit
339,Lee Gi-hyuk,DF,kr Korea Republic,25,2000,3.0,1,0,0,2,1,0,2,5,4,DF,Korea Republic,Group Stage Exit
340,Armin Gigovic,MF,ba BosniaHerz,24,2002,0.9,0,0,0,0,2,0,0,2,1,MF,BosniaHerz,Reached Knockouts
342,Santiago Giménez,FW,mx Mexico,25,2001,1.0,0,0,0,1,3,0,0,0,0,FW,Mexico,Reached Knockouts
345,Diego Gómez,MF,py Paraguay,23,2003,3.4,2,0,0,5,1,0,1,9,6,MF,Paraguay,Reached Knockouts
346,Gustavo Gómez,DF,py Paraguay,33,1993,5.3,0,0,0,3,2,1,0,2,3,DF,Paraguay,Reached Knockouts
347,Armando González,FW,mx Mexico,23,2003,0.2,0,0,0,1,0,0,0,0,0,FW,Mexico,Reached Knockouts
348,Nicolás González,MF,ar Argentina,28,1998,2.9,0,0,0,4,3,2,6,1,3,MF,Argentina,Reached Knockouts
349,Anthony Gordon,MF,eng England,25,2001,4.4,0,0,0,4,10,0,8,3,3,MF,England,Reached Knockouts
350,Leon Goretzka,MF,de Germany,31,1995,1.1,0,0,0,0,0,0,1,1,1,MF,Germany,Reached Knockouts
351,Kenji Gorré,FWMF,cw Curaçao,31,1994,0.2,0,0,0,0,0,0,0,0,0,FWMF,Curaçao,Group Stage Exit
352,Keisuke Got?,FW,jp Japan,21,2005,0.1,0,0,0,0,1,0,0,0,1,FW,Japan,Reached Knockouts
353,Amine Gouiri,FW,dz Algeria,26,2000,2.8,0,0,0,1,1,0,1,0,1,FW,Algeria,Reached Knockouts
354,Ryan Gravenberch,MF,nl Netherlands,24,2002,3.8,0,0,0,5,3,0,4,6,1,MF,Netherlands,Reached Knockouts
355,Michael Gregoritsch,FW,at Austria,32,1994,2.1,0,0,0,1,1,2,0,0,0,FW,Austria,Reached Knockouts
356,Florian Grillitsch,DFMF,at Austria,30,1995,1.0,0,0,0,3,1,0,1,0,1,DFMF,Austria,Reached Knockouts
357,Pascal Groß,DFMF,de Germany,34,1991,0.2,0,0,0,1,0,0,1,0,2,DFMF,Germany,Reached Knockouts
358,Gabriel Gudmundsson,MFDF,se Sweden,27,1999,3.7,1,0,0,5,7,0,4,5,3,MFDF,Sweden,Reached Knockouts
359,Cho Gue-sung,FW,kr Korea Republic,28,1998,0.3,1,0,0,1,0,0,0,0,0,FW,Korea Republic,Group Stage Exit
360,Marc Guéhi,DF,eng England,25,2000,7.4,1,0,0,4,13,0,0,6,1,DF,England,Reached Knockouts
361,Evann Guessand,FWMF,ci Côte d'Ivoire,24,2001,0.2,0,0,0,1,0,0,0,0,0,FWMF,Côte d'Ivoire,Reached Knockouts
362,Idrissa Gueye,MF,sn Senegal,36,1989,4.0,0,0,0,2,2,0,1,2,4,MF,Senegal,Reached Knockouts
363,Pape Gueye,MF,sn Senegal,27,1999,2.6,1,0,0,4,2,0,3,4,1,MF,Senegal,Reached Knockouts
364,Bruno Guimarães,MF,br Brazil,28,1997,4.6,0,0,0,4,7,0,16,2,6,MF,Brazil,Reached Knockouts
365,Deniz Gül,FW,tr Türkiye,21,2004,0.4,0,0,0,2,0,0,0,0,0,FW,Türkiye,Group Stage Exit
366,Arda Güler,MF,tr Türkiye,21,2005,3.0,0,0,0,3,10,2,14,2,3,MF,Türkiye,Group Stage Exit
368,Malo Gusto,DF,fr France,23,2003,1.3,0,0,0,4,2,0,2,2,3,DF,France,Reached Knockouts
369,Brian Gutiérrez,MF,mx Mexico,22,2003,2.2,1,0,0,5,3,0,5,2,1,MF,Mexico,Reached Knockouts
370,Jorge Gutiérrez,DF,pa Panama,27,1998,1.0,0,0,0,1,2,0,0,1,1,DF,Panama,Group Stage Exit
371,Joko Gvardiol,DF,hr Croatia,24,2002,1.5,0,0,0,2,3,0,0,2,2,DF,Croatia,Reached Knockouts
372,Viktor Gyökeres,FW,se Sweden,28,1998,4.0,1,0,0,4,7,1,1,0,1,FW,Sweden,Reached Knockouts
373,Aziz G?aniyev,MF,uz Uzbekistan,28,1998,1.4,0,0,0,2,1,0,6,0,6,MF,Uzbekistan,Group Stage Exit
374,Erling Haaland,FW,no Norway,25,2000,5.2,0,0,0,5,3,0,1,1,0,FW,Norway,Reached Knockouts
375,Ihsan Haddad,DF,jo Jordan,32,1994,2.9,0,0,0,3,1,0,8,2,1,DF,Jordan,Group Stage Exit
376,Anis Hadj Moussa,MF,dz Algeria,24,2002,1.1,0,0,0,0,2,0,5,1,0,MF,Algeria,Reached Knockouts
377,Jaouen Hadjam,DF,dz Algeria,23,2003,1.2,0,0,0,0,0,0,1,1,1,DF,Algeria,Reached Knockouts
378,Amir Hadiahmetovi?,MF,ba BosniaHerz,29,1997,0.1,0,0,0,0,0,0,1,0,0,MF,BosniaHerz,Reached Knockouts
379,Dennis Hadikaduni?,DF,ba BosniaHerz,27,1998,0.3,0,0,0,1,0,0,0,0,2,DF,BosniaHerz,Reached Knockouts
380,Karim Hafez,DF,eg Egypt,30,1996,1.9,0,0,0,1,2,0,3,3,1,DF,Egypt,Reached Knockouts
381,Ehsan Hajsafi,DF,ir IR Iran,36,1990,1.0,1,0,0,2,1,0,2,1,0,DF,IR Iran,Group Stage Exit
382,Achraf Hakimi,DF,ma Morocco,27,1998,6.3,1,0,0,7,16,0,35,5,10,DF,Morocco,Reached Knockouts
383,Redouane Halhal,DF,ma Morocco,23,2003,2.0,1,0,0,3,5,1,0,1,1,DF,Morocco,Reached Knockouts
384,Ali Al Hamadi,FW,iq Iraq,24,2002,2.0,0,0,0,1,5,0,0,2,2,FW,Iraq,Group Stage Exit
385,Abdullah Al-Hamdan,FW,sa Saudi Arabia,26,1999,0.8,0,0,0,2,0,0,1,0,0,FW,Saudi Arabia,Group Stage Exit
386,Mohamed Amine Ben Hamida,DF,tn Tunisia,30,1995,2.2,0,0,0,3,1,0,1,1,9,DF,Tunisia,Group Stage Exit
387,Odiljon Hamrobekov,MF,uz Uzbekistan,30,1996,0.9,1,0,0,1,1,0,0,0,0,MF,Uzbekistan,Group Stage Exit
388,Lee Han-beom,DF,kr Korea Republic,23,2002,3.0,0,0,0,7,2,0,2,3,2,DF,Korea Republic,Group Stage Exit
389,Grant Hanley,DF,sct Scotland,34,1991,2.0,0,0,0,1,0,1,0,1,2,DF,Scotland,Group Stage Exit
390,Sontje Hansen,FW,cw Curaçao,24,2002,0.5,0,0,0,0,0,0,0,0,0,FW,Curaçao,Group Stage Exit
391,Mohamed Hany,DF,eg Egypt,30,1996,5.3,0,0,0,2,1,0,15,6,9,DF,Egypt,Reached Knockouts
392,Moteb Al-Harbi,DF,sa Saudi Arabia,26,2000,2.1,0,0,0,0,4,0,1,4,1,DF,Saudi Arabia,Group Stage Exit
393,Saleh Hardani,DF,ir IR Iran,27,1998,1.0,0,0,0,0,2,0,1,2,2,DF,IR Iran,Group Stage Exit
394,Carlos Harvey,MF,pa Panama,26,2000,3.0,1,0,0,8,3,0,0,0,3,MF,Panama,Group Stage Exit
395,Akam Hashim,DF,iq Iraq,27,1998,3.0,0,0,0,0,3,0,0,2,1,DF,Iraq,Group Stage Exit
396,Haissem Hassan,MF,eg Egypt,24,2002,1.4,2,0,0,2,2,0,9,0,1,MF,Egypt,Reached Knockouts
398,Abdulaziz Hatem,MF,qa Qatar,36,1990,0.5,0,0,0,1,0,0,0,0,0,MF,Qatar,Group Stage Exit
399,Jorrel Hato,DF,nl Netherlands,20,2006,0.4,0,0,0,0,0,0,1,0,0,DF,Netherlands,Reached Knockouts
400,Kai Havertz,FW,de Germany,27,1999,3.9,1,0,0,3,4,1,1,1,2,FW,Germany,Reached Knockouts
401,Hassan Al-Haydos,MF,qa Qatar,35,1990,0.6,0,0,0,1,1,0,0,0,0,MF,Qatar,Group Stage Exit
402,Jan Paul van Hecke,DF,nl Netherlands,26,2000,4.3,0,0,0,4,2,0,1,4,3,DF,Netherlands,Reached Knockouts
403,Hwang Hee-chan,FW,kr Korea Republic,30,1996,1.2,0,0,0,1,2,0,0,0,1,FW,Korea Republic,Group Stage Exit
404,Torbjørn Heggem,DF,no Norway,27,1999,4.9,0,0,0,2,0,0,0,2,7,DF,Norway,Reached Knockouts
405,Alaa Al Hejji,MF,sa Saudi Arabia,30,1995,0.4,0,0,0,0,0,0,0,1,0,MF,Saudi Arabia,Group Stage Exit
407,Jordan Henderson,MF,eng England,35,1990,0.1,1,0,0,0,1,0,2,0,1,MF,England,Reached Knockouts
408,Jack Hendry,DF,sct Scotland,31,1995,3.0,0,0,0,1,3,0,0,0,2,DF,Scotland,Group Stage Exit
409,Luiz Henrique,FWMF,br Brazil,25,2001,0.3,0,0,0,0,1,0,0,0,0,FWMF,Brazil,Reached Knockouts
410,Theo Hernández,DF,fr France,28,1997,2.9,0,0,0,2,4,0,6,3,1,DF,France,Reached Knockouts
411,Lucas Herrington,DF,au Australia,18,2007,2.3,0,0,0,2,0,0,0,2,1,DF,Australia,Reached Knockouts
412,Son Heung-min,FW,kr Korea Republic,33,1992,1.9,0,0,0,0,4,2,3,0,1,FW,Korea Republic,Group Stage Exit
413,Aaron Hickey,DF,sct Scotland,24,2002,0.8,1,0,0,2,4,0,1,1,0,DF,Scotland,Group Stage Exit
414,Isak Hien,DF,se Sweden,27,1999,2.4,1,0,0,3,3,0,0,1,3,DF,Sweden,Reached Knockouts
415,Piero Hincapié,DF,ec Ecuador,24,2002,3.8,1,1,0,5,4,0,14,4,5,DF,Ecuador,Reached Knockouts
416,Adam Hloek,FW,cz Czechia,23,2002,1.7,0,0,0,4,4,0,0,1,1,FW,Czechia,Group Stage Exit
417,Tomá Hole,DF,cz Czechia,33,1993,1.7,0,0,0,2,2,0,0,4,3,DF,Czechia,Group Stage Exit
418,Amirhossein Hosseinzadeh,FW,ir IR Iran,25,2000,0.2,0,0,0,0,0,0,0,0,2,FW,IR Iran,Group Stage Exit
419,Robin Hraná?,DF,cz Czechia,26,2000,3.0,0,0,0,6,0,0,1,1,0,DF,Czechia,Group Stage Exit
420,Ajdin Hrustic,MF,au Australia,29,1996,0.9,0,0,0,1,0,0,5,0,0,MF,Australia,Reached Knockouts
421,César Huerta,FWMF,mx Mexico,25,2000,0.1,0,0,0,0,0,0,0,0,0,FWMF,Mexico,Reached Knockouts
422,Al-Hashmi Al-Hussain,MF,qa Qatar,22,2003,0.4,0,0,0,2,2,0,0,1,2,MF,Qatar,Group Stage Exit
423,Ayman Hussein,FW,iq Iraq,30,1996,1.3,0,0,0,2,1,0,0,0,0,FW,Iraq,Group Stage Exit
424,Oh Hyeon-gyu,FW,kr Korea Republic,25,2001,1.4,0,0,0,0,1,0,1,0,0,FW,Korea Republic,Group Stage Exit
425,Yang Hyun-jun,FWMF,kr Korea Republic,24,2002,0.2,0,0,0,1,0,1,0,1,1,FWMF,Korea Republic,Group Stage Exit
426,Roger Ibanez,DF,br Brazil,27,1998,0.5,1,0,0,2,1,0,0,1,2,DF,Brazil,Reached Knockouts
427,Yasser Ibrahim,DF,eg Egypt,33,1993,5.2,2,0,0,6,3,0,0,3,6,DF,Egypt,Reached Knockouts
429,Hwang In-beom,MF,kr Korea Republic,29,1996,2.9,0,0,0,1,1,0,2,4,2,MF,Korea Republic,Group Stage Exit
430,Christ Inao Oulaï,MF,ci Côte d'Ivoire,20,2006,2.3,0,0,0,3,5,0,0,6,4,MF,Côte d'Ivoire,Reached Knockouts
431,Zidane Iqbal,MF,iq Iraq,23,2003,2.1,0,0,0,1,2,0,2,1,2,MF,Iraq,Group Stage Exit
432,Nestory Irankunda,FWMF,au Australia,20,2006,2.9,0,0,0,4,5,0,1,1,0,FWMF,Australia,Reached Knockouts
433,Jackson Irvine,MF,au Australia,33,1993,2.5,1,0,0,3,3,0,2,1,1,MF,Australia,Reached Knockouts
434,Alexander Isak,FW,se Sweden,26,1999,4.0,0,0,0,4,1,5,3,0,2,FW,Sweden,Reached Knockouts
435,Wilson Isidor,FW,ht Haiti,25,2000,2.1,0,0,0,3,2,1,0,1,1,FW,Haiti,Group Stage Exit
436,Jamshid Iskanderov,FWMF,uz Uzbekistan,32,1993,0.1,0,0,0,0,0,0,1,0,0,FWMF,Uzbekistan,Group Stage Exit
437,Zaid Ismail,MF,iq Iraq,24,2002,1.3,0,0,0,2,0,0,0,1,4,MF,Iraq,Group Stage Exit
438,Ko Itakura,DF,jp Japan,29,1997,1.4,0,0,0,1,0,0,0,1,0,DF,Japan,Reached Knockouts
439,Jacob Italiano,DF,au Australia,24,2001,1.8,1,0,0,0,0,0,8,1,2,DF,Australia,Reached Knockouts
440,Hiroki Ito,DF,jp Japan,27,1999,4.0,0,0,0,7,0,0,9,0,2,DF,Japan,Reached Knockouts
441,Junya It?,MF,jp Japan,33,1993,2.4,0,0,0,2,5,0,17,1,2,MF,Japan,Reached Knockouts
442,Cedric Itten,FWMF,ch Switzerland,29,1996,0.5,0,0,0,4,2,0,1,0,0,FWMF,Switzerland,Reached Knockouts
443,Nicolas Jackson,FW,sn Senegal,24,2001,2.6,0,0,0,2,0,5,1,1,2,FW,Senegal,Reached Knockouts
444,Lee Jae-sung,FW,kr Korea Republic,33,1992,1.3,0,0,0,1,4,1,0,2,3,FW,Korea Republic,Group Stage Exit
445,Alireza Jahanbakhsh,FWMF,ir IR Iran,32,1993,0.5,0,0,0,2,0,0,1,0,1,FWMF,IR Iran,Group Stage Exit
446,Ismail Jakobs,DF,sn Senegal,26,1999,2.4,0,0,0,2,0,0,18,2,2,DF,Senegal,Reached Knockouts
447,Reece James,DF,eng England,26,1999,3.5,0,0,0,3,1,0,9,3,3,DF,England,Reached Knockouts
448,Amer Jamous,MF,jo Jordan,23,2002,0.2,0,0,0,1,0,0,0,0,0,MF,Jordan,Group Stage Exit
449,Luca Jaquez,DF,ch Switzerland,23,2003,0.9,0,0,0,3,1,0,2,1,0,DF,Switzerland,Reached Knockouts
450,Ardon Jashari,MF,ch Switzerland,23,2002,0.8,0,0,0,2,1,0,1,0,0,MF,Switzerland,Reached Knockouts
451,Ali Jasim,MF,iq Iraq,22,2004,1.4,0,0,0,1,0,0,4,0,1,MF,Iraq,Group Stage Exit
452,Danley Jean-Jacques,MF,ht Haiti,26,2000,2.9,1,0,0,5,3,0,1,3,6,MF,Haiti,Group Stage Exit
453,Eom Ji-sung,MF,kr Korea Republic,24,2002,0.5,0,0,0,0,1,0,3,0,2,MF,Korea Republic,Group Stage Exit
